Study_ID,Climate,Soil_Texture,Initial_EC_dSm,Initial_pH,Crop,Cropping_System,Duration_years,Irrigation_Type,Fertilizer,Outcome,Exp_mean,Exp_sd,Exp_n,Ctrl_mean,Ctrl_sd,Ctrl_n
(Cui et al. 2022b),Semi-arid,NA,NA,7.21,Alfalfa,Monoculture,NA,Drip,Biochar + EM,Enzyme,12,0.8,5,5,0.6,5
(Cui et al. 2022a),Temperate,Silt loam,1.05,6.82,NA,NA,NA,Drip,Straw,Enzyme,1.05,0.05,3,0.7,0.05,3
(Peng et al. 2025),NA,Silty clay loam,NA,7.2,Taxodium 'Zhongshanshan',Monoculture,NA,NA,Control,Enzyme,30,22,3,11,2,3
(Liu et al. 2025b),Semi-arid,Sandy loam,NA,6.49,Peanut,Monoculture,1,NA,Biochar Compost,Enzyme,25.78,0.62,3,11.95,0.64,3
(Liu et al. 2025b),Semi-arid,Sandy loam,NA,6.49,Peanut,Monoculture,1,NA,Biochar Compost,Enzyme,167.87,3.42,3,104.86,4.69,3
(Liu et al. 2025b),Semi-arid,Sandy loam,NA,6.49,Peanut,Monoculture,1,NA,Biochar Compost,Enzyme,22.39,0.47,3,11.93,6.36,3
(Liu et al. 2025b),Semi-arid,Sandy loam,NA,6.49,Peanut,Monoculture,1,NA,Biochar Compost,Enzyme,62.2,1.23,3,52.69,2.9,3
(Liu et al. 2025b),Semi-arid,Sandy loam,NA,6.49,Peanut,Monoculture,1,NA,Biochar Compost,Enzyme,558.87,10.47,3,449.15,23.69,3
(Liu et al. 2025b),Semi-arid,Sandy loam,NA,6.49,Peanut,Monoculture,1,NA,Biochar Compost,Enzyme,7.01,0.74,3,4.22,0.89,3
(Liu et al. 2025b),Semi-arid,Sandy loam,NA,6.49,Peanut,Monoculture,1,NA,Biochar Compost,Enzyme,1.98,0.21,3,1.33,0.74,3
(Liu et al. 2025b),Semi-arid,Sandy loam,NA,6.49,Peanut,Monoculture,1,NA,Biochar Compost,Enzyme,1.2,0.01,3,1.09,0.03,3
(Sui et al. 2025),Semi-arid,NA,NA,8.5,E. angustifolia,Monoculture,NA,NA,Control,Enzyme,2.1,0.15,3,1.1,0.1,3
(Guo et al. 2024),NA,NA,NA,7.5,Maize,Monoculture,1,Drip,Straw + N + P,Enzyme,135,38,4,4,2.2,4
(Zhu et al. 2025),Subtropical,NA,NA,4.1,Sugarcane,Monoculture,2,NA,NPK,Enzyme,127.48,6.638,3,5.685,0.1751,3
(Laghari et al. 2025),Arid,Silt loam,9.3,6.9,NA,NA,2,NA,Control,Enzyme,1100,0.49,3,400,34.64102,3
